flight_id,departure_airport,arrival_airport,aircraft_code,actual_departure,actual_arrival,duration,model,earn,hour_consumption,max_bording,cur_pass,perc_bording,profit
136185,AAQ,SVO,733,2017-01-14 10:06:00.000000,2017-01-14 11:49:00.000000,1.72,Boeing 737-300,1520000,2400,130,104,0.8,1354880
136383,AAQ,SVO,733,2017-01-25 10:09:00.000000,2017-01-25 11:51:00.000000,1.7,Boeing 737-300,1493200,2400,130,106,0.82,1330000
136202,AAQ,SVO,733,2017-01-05 10:07:00.000000,2017-01-05 11:49:00.000000,1.7,Boeing 737-300,1495600,2400,130,100,0.77,1332400
136119,AAQ,SVO,733,2017-01-03 10:08:00.000000,2017-01-03 11:49:00.000000,1.68,Boeing 737-300,1653000,2400,130,113,0.87,1491720
136250,AAQ,SVO,733,2017-02-08 10:06:00.000000,2017-02-08 11:47:00.000000,1.68,Boeing 737-300,1407800,2400,130,99,0.76,1246520
136486,AAQ,SVO,733,2017-02-02 10:07:00.000000,2017-02-02 11:48:00.000000,1.68,Boeing 737-300,1505400,2400,130,107,0.82,1344120
136322,AAQ,SVO,733,2017-02-06 10:11:00.000000,2017-02-06 11:52:00.000000,1.68,Boeing 737-300,1567600,2400,130,108,0.83,1406320
136268,AAQ,SVO,733,2017-02-16 10:08:00.000000,2017-02-16 11:49:00.000000,1.68,Boeing 737-300,1676200,2400,130,115,0.88,1514920
136165,AAQ,SVO,733,2017-02-22 10:11:00.000000,2017-02-22 11:52:00.000000,1.68,Boeing 737-300,1567600,2400,130,110,0.85,1406320
136282,AAQ,SVO,733,2017-01-16 10:07:00.000000,2017-01-16 11:48:00.000000,1.68,Boeing 737-300,1518800,2400,130,106,0.82,1357520
136284,AAQ,SVO,733,2017-02-07 10:07:00.000000,2017-02-07 11:48:00.000000,1.68,Boeing 737-300,1677400,2400,130,117,0.9,1516120
136209,AAQ,SVO,733,2017-01-06 10:09:00.000000,2017-01-06 11:49:00.000000,1.67,Boeing 737-300,1615200,2400,130,112,0.86,1454880
136215,AAQ,SVO,733,2017-02-28 10:09:00.000000,2017-02-28 11:49:00.000000,1.67,Boeing 737-300,1664000,2400,130,114,0.88,1503680
